"key"	"membership"
"608193539"	"1"
"1095902725"	"1"
"697545734"	"2"
"1328392108"	"3"
"100002904201228"	"2"
"100000433766415"	"2"
"100000482383891"	"4"
"672628756"	"2"
"680099861"	"2"
"705771032"	"2"
"1552345178"	"5"
"100000246619166"	"6"
"1595256863"	"2"
"1282025509"	"6"
"1119256839"	"1"
"1514750510"	"3"
"100001624471599"	"7"
"663600689"	"1"
"768498227"	"3"
"100000442973751"	"2"
"1528135224"	"7"
"726263957"	"3"
"100000578884673"	"4"
"1457983414"	"3"
"100000582553673"	"6"
"1585125970"	"3"
"1465542499"	"2"
"1354387028"	"2"
"785366101"	"8"
"555189846"	"2"
"1583371864"	"2"
"1541409370"	"2"
"1538382939"	"6"
"651819101"	"3"
"100000403926111"	"2"
"1344921699"	"2"
"651152996"	"3"
"1424724587"	"1"
"1508616813"	"7"
"1408401940"	"7"
"100000377673327"	"9"
"1426520176"	"3"
"1110382705"	"10"
"100000471291161"	"5"
"1277862516"	"8"
"1077138040"	"8"
"1231571476"	"2"
"575012474"	"11"
"1513271420"	"2"
"100001284640381"	"2"
"1780599935"	"12"
"632917120"	"2"
"596652907"	"2"
"703915804"	"3"
"1094426761"	"13"
"1437570698"	"5"
"1039917195"	"10"
"1048568972"	"5"
"1469799566"	"5"
"646502543"	"2"
"1424358033"	"1"
"717193363"	"3"
"1571010196"	"14"
"1105921646"	"3"
"1331863191"	"7"
"1336043672"	"1"
"748963482"	"2"
"658494575"	"15"
"550477980"	"1"
"1416563357"	"2"
"1551173790"	"1"
"1313936837"	"2"
"679281828"	"2"
"100000527614629"	"16"
"100000548623527"	"2"
"716989724"	"10"
"686094791"	"1"
"1602755757"	"15"
"1393352369"	"2"
"1453381816"	"3"
"1617340089"	"1"
"651585216"	"10"
"100002133748936"	"2"
"1591726455"	"2"
"1372937936"	"7"
"1179036883"	"2"
"1060368596"	"2"
"1510208213"	"3"
"666327766"	"5"
"1463412857"	"17"
"1377728291"	"3"
"1539714784"	"3"
"1515796705"	"15"
"1216208107"	"2"
"1113437421"	"6"
"1473401469"	"1"
"1187410672"	"2"
"672758001"	"2"
"1528826099"	"2"
"606077175"	"3"
"100000523153161"	"2"
"100001981626617"	"2"
"1388412666"	"10"
"1460492028"	"3"
"1475979005"	"18"
"598968790"	"2"
"1644908806"	"19"
"1185357063"	"1"
"1366526117"	"3"
"1328503049"	"1"
"1526670301"	"13"
"100000858456331"	"2"
"708004624"	"8"
"100000635016978"	"13"
"1516252771"	"1"
"582508078"	"3"
"1410131225"	"2"
"1407062063"	"1"
"100000248112924"	"8"
"100000095530970"	"2"
"748771615"	"2"
"786544417"	"20"
"694595874"	"1"
"532286755"	"1"
"100000316095780"	"13"
"1321472902"	"3"
"640288042"	"2"
"1654943022"	"8"
"1558276911"	"13"
"1759784240"	"13"
"100000845732145"	"3"
"1098303282"	"10"
"1629375284"	"2"
"1623275317"	"2"
"1686766391"	"2"
"1602417460"	"2"
"652176186"	"1"
"100000581184827"	"21"
"100000346253194"	"13"
"1607341877"	"8"
"1526231947"	"1"
"1659943748"	"2"
"623764805"	"1"
"1647621958"	"7"
"100003014259015"	"8"
"686024008"	"3"
"100000766269068"	"13"
"1525221175"	"2"
"1425776972"	"2"
"1434465613"	"1"
"1404555373"	"15"
"1467442000"	"3"
"1146383416"	"22"
"509061973"	"8"
"1659503958"	"2"
"791763800"	"3"
"723172186"	"6"
"1411699343"	"2"
"1062185308"	"12"
"100000569553249"	"2"
"1230679907"	"3"
"1240654185"	"3"
"1195444587"	"5"
"1129909612"	"23"
"1342187375"	"7"
"1316755824"	"2"
"1565227028"	"3"
"1250817911"	"3"
"1346916216"	"8"
"647091579"	"1"
"691571580"	"7"
"1434275477"	"2"
"1417818496"	"24"
"1611201410"	"2"
"1540725124"	"3"
"1302730629"	"2"
"575604614"	"8"
"552782728"	"15"
"805644682"	"2"
"870195595"	"8"
"1484063117"	"2"
"1542046872"	"25"
"1498635154"	"1"
"1422595987"	"5"
"642370458"	"2"
"1326189468"	"8"
"1344769440"	"3"
"1218554096"	"3"
"715273122"	"2"
"1438393252"	"2"
"100000695438247"	"26"
"100001644732840"	"6"
"100001373962666"	"2"
"708780549"	"6"
"766085549"	"27"
"100000086307485"	"16"
"1342444465"	"15"
"531504053"	"3"
"1432429494"	"3"
"1663428681"	"3"
"100000283963121"	"27"
"1499263425"	"2"
"656929221"	"6"
"539647942"	"3"
"1535145889"	"2"
"1297997256"	"2"
"529985484"	"11"
"1547022242"	"3"
"648957902"	"1"
"1532377551"	"2"
"1408609238"	"2"
"1717351895"	"2"
"1618673625"	"3"
"100000257184730"	"2"
"1731748316"	"2"
"1075224541"	"6"
"1567274463"	"2"
"1054171618"	"10"
"1568529403"	"8"
"1366721509"	"3"
"1464931818"	"6"
"1377851303"	"5"
"897750098"	"1"
"100006667627503"	"7"
"511011825"	"3"
"1486376435"	"13"
"694545397"	"2"
"1414964727"	"2"
"504646648"	"3"
"100000651472379"	"15"
"100001065211356"	"1"
"100004338640952"	"2"
"100002854744801"	"4"
"100000422736493"	"2"
"100002375388238"	"3"
"10203691774996017"	"5"
"100000751959245"	"6"
"100000208751151"	"6"
"1628973322"	"1"
"100003131935860"	"7"
"100001639216058"	"3"
"1843226299"	"3"
"100001817018452"	"6"
"100004419210243"	"6"
"100001743407623"	"28"
"100000257541129"	"8"
"100002151140698"	"13"
"100007885508656"	"7"
"100001547991101"	"5"
"1618060129"	"3"
"1622191196"	"11"
"100001586745949"	"9"
"100004005888609"	"15"
"100003555214947"	"2"
"100002124233324"	"2"
"100000045321327"	"3"
"100001911589508"	"3"
"1614127725"	"2"
"1797720215"	"29"
"100001576031005"	"27"
"100002965227706"	"22"
"100000641996988"	"3"
"1594260676"	"3"
"100001662339814"	"2"
"1666223352"	"3"
"100000129072915"	"3"
"1619460740"	"3"
"100000231543614"	"2"
"100000688941897"	"3"
"100001214229338"	"2"
"100005008060766"	"8"
"1619461521"	"3"
"100003357199210"	"3"
"100001662667632"	"3"
"1629134712"	"3"
"100002144830844"	"2"
"1711774090"	"3"
"100000830952849"	"3"
"100000666300821"	"3"
"1745601960"	"10"
"1594386863"	"15"
"1623987134"	"3"
"100006294912971"	"30"
"100004072332236"	"31"
"1814206413"	"32"
"100006016153554"	"12"
"100002447883744"	"1"
"100002567128043"	"15"
